0.200000,1.000000,1,0.038429,0.192928,3864
0.400000,1.000000,1,0.122565,0.352807,12163
0.600000,1.000000,1,0.215126,0.474062,21267
0.800000,1.000000,1,0.297012,0.566174,29427
0.900000,1.000000,1,0.333881,0.604240,33240
0.200000,1.000000,20,0.072376,0.200623,0
0.400000,1.000000,20,0.391407,0.401246,0
0.600000,1.000000,20,1.216066,0.601856,0
0.800000,1.000000,20,3.571928,0.800031,308
0.900000,1.000000,20,6.324341,0.889819,1440
0.200000,1.000000,50,0.072376,0.200623,0
0.400000,1.000000,50,0.391407,0.401246,0
0.600000,1.000000,50,1.216066,0.601856,0
0.800000,1.000000,50,3.802320,0.802456,0
0.900000,1.000000,50,8.760174,0.902605,17
